Identificador,Módulo,Categoría,Clave de aprendizaje esperado vinculado,Aprendizaje esperado,Tema,Nombre del recurso,Palabras clave,Enlace de RED,Tipo de Recurso,Autoría,"Referencia en Formato APA o 
Manual de citas y referencias de Prepa en Línea-SEP basado en estilo APA"
M02R012_V,M02,Actividad Integradora 2,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Comunicación oral y escrita,Categorías gramaticales,"Gramática, escritura, redacción",https://portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/catGramaticales,Página de consulta o informativa,Ajena,"Mondragón, G. H. y Cortés, R. (2011). Categorías gramaticales. Portal Académico del CCH, UNAM. https://portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/catGramaticales"
M02R013_V,M02,Actividad Integradora 2,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,Secuencia del relato,"Redacción, relato, comunicación, partes de un texto",https://portalacademico.cch.unam.mx/alumno/tlriid1/unidad4/secuenciaRelato,Página de consulta o informativa,Ajena,"Sánchez, F. D. R. (2011). Secuencia del relato. Portal Académico del CCH, UNAM. https://portalacademico.cch.unam.mx/alumno/tlriid1/unidad4/secuenciaRelato"
M02R014_V,M02,Actividad Integradora 2,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Comunicación oral y escrita,La autobiografía,"Redacción, autobiografía, proyecto, metas",http://uapas2.bunam.unam.mx/humanidades/la_autobiografia/,Página de consulta o informativa,Ajena,"Coordinación de Universidad Abierta, Innovación Educativa y Educación a Distancia,UNAM. (S/F). La autobiografía.http://uapas2.bunam.unam.mx/humanidades/la_autobiografia/"
M02R016_V,M02,Actividad Integradora 2,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Comunicación oral y escrita,Adjetivos más usados en Español,"Gramática, escritura, redacción, categoría gramatical",https://aprendehablando.com/los-50-adjetivos-mas-usados-en-espanol/,Página de consulta o informativa,Ajena,"Jiménez, A. (2018) Los 50 adjetivos más usados en español [Blog]. https://aprendehablando.com/los-50-adjetivos-mas-usados-en-espanol/"
M02R018_V,M02,Actividad Integradora 2,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Comunicación oral y escrita,Categorías gramaticales,"Gramática, escritura, redacción, tipo de clase",https://e1.portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/catGramaticales/clasesDePalabras1,Página de consulta o informativa,Ajena,"Colegio de Ciencias Sociales y Humanidades CCH. (2017), Categorías gramaticales, clases de palabras, recuperado el 1 de noviembre de 2023, en: https://e1.portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/catGramaticales/clasesDePalabras1"
M02R020_V,M02,Actividad Integradora 2,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,Diferencias contextuales y diferencias textuales,"Comunicación, oral, narración, intención",https://portalacademico.cch.unam.mx/alumno/tlriid1/unidad2/dialogo/oralidadYescritura,Página de consulta o informativa,Ajena,"Colegio de Ciencias y Humanidades. (s/f), Oralidad y Escritura, consultado el 1 de noviembre del 2023, en: https://portalacademico.cch.unam.mx/alumno/tlriid1/unidad2/dialogo/oralidadYescritura"
M02R022_V,M02,Actividad Integradora 2,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Comunicación oral y escrita,La oración,"Gramática, escritura, redacción, conjunto de palabras, estructura gramatical",https://e1.portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/catGramaticales/laOracion,Página de consulta o informativa,Ajena,Colegio de Ciencias y Humanidades. (2022). La oración. Consultado el 1 de noviembre del 2023 https://e1.portalacademico.cch.unam.mx/alumno/tlriid2/unidad1/catGramaticales/laOracion
M02R023_V,M02,Actividad Integradora 2,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,Pasos para elaborar un relato,"Redacción, técnica, narración estructurada, lenguaje oral o escrito, clasificación de relatos",http://saeta.uemstaycm.sems.gob.mx/content/docs/C1_M1_S1_Relato_PDF.pdf,Otro,Ajena,SAETA. (s.f.). Pasos para elaborar un relato. Recuperado el 1 de noviembre del 2023 http://saeta.uemstaycm.sems.gob.mx/content/docs/C1_M1_S1_Relato_PDF.pdf
M02R024_V,M02,Actividad Integradora 2,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Cómo hacer una historia de vida,"Metas, proyecto, vida, planificación, crecimiento",http://laaventuradeaprender.intef.es/guias/proyectos-colaborativos/como-hacer-una-historia-de-vida,Página de consulta o informativa,Ajena,Instituto Nacional de Tecnologías Educativas y de Formación del Profesorado. (2022). Cómo hacer una historia de vida. Recuperado el 1 de noviembre del 2023 http://laaventuradeaprender.intef.es/guias/proyectos-colaborativos/como-hacer-una-historia-de-vida
M02R092_V,M02,Semana 1,AE-COM-022-PE14,"Identifica el tema, la intención, las partes de expresiones orales y escritas de un texto.",Estrategias para la lectura de comprensión y crítica,¿Cómo obtener palabras clave de un texto?,"Lectura, comprensión, estrategia",https://youtu.be/t9t6FQ29468,Video,Ajena,"Reyna Edgar. (2020, 04 de octubre). ¿Cómo obtener palabras clave de un texto?[Video]. YouTube. https://youtu.be/t9t6FQ29468"
M02R093_V,M02,Semana 1,AE-COM-022-PE14,"Identifica el tema, la intención, las partes de expresiones orales y escritas de un texto.",Estrategias para la lectura de comprensión y crítica,Ideas principales y secundarias,"Lectura, comprensión, estrategia, concepto importante, información clave",https://youtu.be/GiMndHY9los,Video,Ajena,"Cornejo Fernanda. (2017,18 de julio). Ideas principales y secundarias [Video]. YouTube. https://youtu.be/GiMndHY9los"
